-13	-31	0
-28	-28	0
-4	-28	0
-18	-25	0
13	-25	0
-24	-24	0
-17	-24	0
2	-24	0
17	-24	0
18	-24	0
-14	-23	0
29	-23	0
-8	-22	0
-13	-21	0
21	-21	0
24	-21	0
-12	-20	0
13	-20	0
-30	-19	0
-12	-19	0
1	-19	0
0	-17	0
-31	-16	0
-19	-16	0
15	-16	0
19	-16	0
-16	-15	0
2	-15	0
27	-15	0
-2	-13	0
11	-13	0
4	-12	0
-31	-11	0
-22	-10	0
4	-10	0
-1	-9	0
22	-9	0
5	-8	0
22	-6	0
30	-6	0
-17	-5	0
-5	-5	0
-4	-5	0
-3	-5	0
-2	-5	0
-1	-5	0
0	-5	0
1	-5	0
2	-5	0
3	-5	0
4	-5	0
5	-5	0
19	-5	0
-5	-4	0
-4	-4	0
-3	-4	0
-2	-4	0
-1	-4	0
0	-4	0
1	-4	0
2	-4	0
3	-4	0
4	-4	0
5	-4	0
26	-4	0
-18	-3	0
-8	-3	0
-5	-3	0
-4	-3	0
-3	-3	0
-2	-3	0
-1	-3	0
0	-3	0
1	-3	0
2	-3	0
3	-3	0
4	-3	0
5	-3	0
-17	-2	0
-5	-2	0
-4	-2	0
-3	-2	0
-2	-2	0
-1	-2	0
0	-2	0
1	-2	0
2	-2	0
3	-2	0
4	-2	0
5	-2	0
13	-2	0
24	-2	0
27	-2	0
-18	-1	0
-5	-1	0
-4	-1	0
-3	-1	0
-2	-1	0
-1	-1	0
0	-1	0
1	-1	0
2	-1	0
3	-1	0
4	-1	0
5	-1	0
24	-1	0
-27	0	0
-5	0	0
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
20	0	0
21	0	0
-29	1	0
-5	1	0
-4	1	0
-3	1	0
-2	1	0
-1	1	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
-30	2	0
-5	2	0
-4	2	0
-3	2	0
-2	2	0
-1	2	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
13	2	0
30	2	0
-5	3	0
-4	3	0
-3	3	0
-2	3	0
-1	3	0
0	3	0
